run_id,id,writer_reference_id,dataset,provider,model,reference_type,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,meteor,bertscore_precision,bertscore_recall,bertscore_f1
20260519_232753,08c88b7d81f148ce95c37ac8a2b0c921,1,writer_summaries,ollama,llama3.1:latest,freelance_writer,0.48543689320388356,0.0594059405940594,0.23300970873786409,0.2672925304213054,0.8992025852203369,0.9008053541183472,0.9000032544136047
20260519_232753,08c88b7d81f148ce95c37ac8a2b0c921,2,writer_summaries,ollama,llama3.1:latest,freelance_writer,0.3146067415730337,0.0,0.20224719101123598,0.15294117647058822,0.8433207273483276,0.8714001774787903,0.8571305274963379
20260519_232753,08c88b7d81f148ce95c37ac8a2b0c921,3,writer_summaries,ollama,llama3.1:latest,freelance_writer,0.2931034482758621,0.07017543859649121,0.2241379310344828,0.11380880121396053,0.8734133243560791,0.8735257983207703,0.8734695315361023
20260519_232753,0adb86356834452298d180104ff54179,1,writer_summaries,ollama,llama3.1:latest,freelance_writer,0.29473684210526313,0.12903225806451613,0.23157894736842108,0.19743203001121548,0.8607665300369263,0.8627092838287354,0.8617367744445801
20260519_232753,0adb86356834452298d180104ff54179,2,writer_summaries,ollama,llama3.1:latest,freelance_writer,0.41975308641975306,0.1772151898734177,0.2469135802469136,0.373619233268356,0.858681857585907,0.8826742172241211,0.8705127239227295
20260519_232753,0adb86356834452298d180104ff54179,3,writer_summaries,ollama,llama3.1:latest,freelance_writer,0.34,0.22448979591836735,0.3,0.2612161915204679,0.8777233362197876,0.8789834976196289,0.8783529996871948
20260519_232753,0f1d41fcf8934fdf8fc993851ba9c6c4,1,writer_summaries,ollama,llama3.1:latest,freelance_writer,0.33644859813084116,0.13333333333333333,0.18691588785046728,0.22440650468332132,0.8194299936294556,0.8855262994766235,0.8511970043182373
20260519_232753,0f1d41fcf8934fdf8fc993851ba9c6c4,2,writer_summaries,ollama,llama3.1:latest,freelance_writer,0.21359223300970875,0.0198019801980198,0.1747572815533981,0.11450012103606877,0.7959709763526917,0.8591867089271545,0.8263716101646423
20260519_232753,12e2247575bb460284ecaa276965b73f,1,writer_summaries,ollama,llama3.1:latest,freelance_writer,0.5106382978723404,0.2826086956521739,0.3404255319148936,0.3725264509274426,0.9084163308143616,0.9086063504219055,0.9085113406181335
20260519_232753,12e2247575bb460284ecaa276965b73f,2,writer_summaries,ollama,llama3.1:latest,freelance_writer,0.4742268041237114,0.23157894736842108,0.32989690721649484,0.25579530596470446,0.9026623964309692,0.9031495451927185,0.9029059410095215
