run_id,id,dataset,provider,model,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,meteor,bertscore_precision,bertscore_recall,bertscore_f1
20260519_213553,38295789,xsum,ollama,llama3.1:latest,0.2978723404255319,0.044444444444444446,0.21276595744680848,0.13661202185792348,0.8977307081222534,0.9219228029251099,0.9096659421920776
20260519_213553,40202028,xsum,ollama,llama3.1:latest,0.28571428571428575,0.07407407407407407,0.25,0.3034855769230769,0.8709928393363953,0.9031618237495422,0.8867856860160828
20260519_213553,36177725,xsum,ollama,llama3.1:latest,0.4999999999999999,0.27999999999999997,0.4999999999999999,0.4560308972073679,0.8868622779846191,0.9398216009140015,0.9125742316246033
20260519_213553,35751255,xsum,ollama,llama3.1:latest,0.28571428571428564,0.0425531914893617,0.12244897959183675,0.11976047904191617,0.8584590554237366,0.9065773487091064,0.8818622827529907
20260519_213553,35275743,xsum,ollama,llama3.1:latest,0.40816326530612246,0.1702127659574468,0.36734693877551017,0.3121527777777777,0.9032796025276184,0.9224563837051392,0.912767231464386
20260519_213553,40375560,xsum,ollama,llama3.1:latest,0.25531914893617025,0.13333333333333333,0.25531914893617025,0.2915662650602409,0.8725153803825378,0.9204320907592773,0.895833432674408
20260519_213553,25866962,xsum,ollama,llama3.1:latest,0.3214285714285714,0.11111111111111112,0.2857142857142857,0.2963475738396624,0.9086858630180359,0.9223310351371765,0.9154576063156128
20260519_213553,38663542,xsum,ollama,llama3.1:latest,0.3928571428571429,0.037037037037037035,0.25,0.2094287496658052,0.8927655220031738,0.9196187853813171,0.9059932231903076
20260519_213553,36976757,xsum,ollama,llama3.1:latest,0.4528301886792453,0.0784313725490196,0.3018867924528302,0.2883720930232559,0.8949848413467407,0.8913297653198242,0.8931535482406616
20260519_213553,33921047,xsum,ollama,llama3.1:latest,0.208955223880597,0.030769230769230767,0.14925373134328357,0.12448132780082986,0.874887228012085,0.8801869750022888,0.8775290846824646
20260519_213553,39220527,xsum,ollama,llama3.1:latest,0.18749999999999997,0.06451612903225808,0.125,0.06097560975609757,0.8598060607910156,0.8737993240356445,0.866746187210083
20260519_213553,29849936,xsum,ollama,llama3.1:latest,0.07407407407407408,0.0,0.07407407407407408,0.03717472118959108,0.8142267465591431,0.8169863224029541,0.8156041502952576
20260519_213553,36093721,xsum,ollama,llama3.1:latest,0.2962962962962963,0.11538461538461538,0.25925925925925924,0.16986301369863013,0.9053922295570374,0.8968673944473267,0.9011096358299255
20260519_213553,31849894,xsum,ollama,llama3.1:latest,0.372093023255814,0.19512195121951217,0.372093023255814,0.2972241620111732,0.87056964635849,0.9291238784790039,0.898894190788269
20260519_213553,34672766,xsum,ollama,llama3.1:latest,0.3555555555555555,0.13953488372093023,0.3111111111111111,0.40599218410768567,0.8804724216461182,0.921089231967926,0.9003229737281799
20260519_213553,34692356,xsum,ollama,llama3.1:latest,0.13114754098360656,0.03389830508474576,0.06557377049180328,0.06818181818181818,0.8288347125053406,0.8549853563308716,0.8417069911956787
20260519_213553,35474878,xsum,ollama,llama3.1:latest,0.43636363636363634,0.26415094339622636,0.29090909090909084,0.3336322869955157,0.9090027809143066,0.9286719560623169,0.9187321066856384
20260519_213553,36416501,xsum,ollama,llama3.1:latest,0.24137931034482757,0.10714285714285714,0.20689655172413793,0.1974022633744856,0.8777382969856262,0.8922985196113586,0.8849585056304932
20260519_213553,35814821,xsum,ollama,llama3.1:latest,0.24561403508771928,0.10909090909090909,0.17543859649122806,0.15173981810992485,0.874744176864624,0.8749271035194397,0.8748356699943542
20260519_213553,38354236,xsum,ollama,llama3.1:latest,0.1694915254237288,0.0,0.06779661016949153,0.1111111111111111,0.8600306510925293,0.8902257084846497,0.8748677968978882
20260519_213553,37057299,xsum,ollama,llama3.1:latest,0.4482758620689656,0.17857142857142858,0.27586206896551724,0.3680923182389458,0.8905623555183411,0.9202759861946106,0.9051753878593445
20260519_213553,28688331,xsum,ollama,llama3.1:latest,0.14285714285714285,0.0,0.10714285714285714,0.1,0.8470568060874939,0.8862326741218567,0.8662020564079285
20260519_213553,40232491,xsum,ollama,llama3.1:latest,0.3283582089552239,0.061538461538461535,0.17910447761194032,0.20576131687242796,0.8893467783927917,0.9227516651153564,0.905741274356842
20260519_213553,35966488,xsum,ollama,llama3.1:latest,0.2545454545454545,0.03773584905660378,0.21818181818181817,0.1912057797708022,0.877091109752655,0.9029989838600159,0.8898565173149109
20260519_213553,36597220,xsum,ollama,llama3.1:latest,0.4918032786885246,0.2711864406779661,0.39344262295081966,0.47115142353237593,0.9256600737571716,0.946663498878479,0.9360439777374268
20260519_213553,39779449,xsum,ollama,llama3.1:latest,0.18518518518518517,0.0,0.14814814814814814,0.08810572687224669,0.8486194610595703,0.8599532842636108,0.8542488217353821
20260519_213553,30197084,xsum,ollama,llama3.1:latest,0.19047619047619044,0.06557377049180328,0.19047619047619044,0.2207920792079208,0.8741217255592346,0.918204128742218,0.8956208229064941
20260519_213553,39386676,xsum,ollama,llama3.1:latest,0.2857142857142857,0.032786885245901634,0.2222222222222222,0.24535740222014737,0.8626073002815247,0.8938888311386108,0.8779694437980652
20260519_213553,36587997,xsum,ollama,llama3.1:latest,0.23333333333333334,0.0,0.13333333333333333,0.15418502202643172,0.8740382790565491,0.8948596715927124,0.8843263983726501
20260519_213553,36415378,xsum,ollama,llama3.1:latest,0.2127659574468085,0.0,0.1702127659574468,0.09803921568627452,0.8782469034194946,0.8581274747848511,0.868070662021637
20260519_213553,19481400,xsum,ollama,llama3.1:latest,0.1702127659574468,0.0,0.1702127659574468,0.10526315789473684,0.8835982084274292,0.9191212058067322,0.901009738445282
20260519_213553,33285699,xsum,ollama,llama3.1:latest,0.5079365079365079,0.32786885245901637,0.4126984126984126,0.5010893246187363,0.9082543253898621,0.9463870525360107,0.9269286394119263
