id,writer_reference_id,provider,model,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,meteor,bertscore_precision,bertscore_recall,bertscore_f1
08c88b7d81f148ce95c37ac8a2b0c921,1,openai,text-davinci-002,0.31343283582089554,0.04545454545454545,0.1791044776119403,0.16873889875666076,0.8722124099731445,0.8821929693222046,0.8771743178367615
08c88b7d81f148ce95c37ac8a2b0c921,2,openai,text-davinci-002,0.2833333333333333,0.05084745762711864,0.2,0.17582417582417584,0.8323360085487366,0.8633187413215637,0.8475443124771118
08c88b7d81f148ce95c37ac8a2b0c921,3,openai,text-davinci-002,0.3401360544217687,0.12413793103448274,0.23129251700680273,0.17416545718432513,0.8678617477416992,0.8716877698898315,0.8697705268859863
0adb86356834452298d180104ff54179,1,openai,text-davinci-002,0.4421052631578947,0.25806451612903225,0.39999999999999997,0.3052370506064786,0.8801871538162231,0.8941381573677063,0.887107789516449
0adb86356834452298d180104ff54179,2,openai,text-davinci-002,0.2716049382716049,0.12658227848101267,0.19753086419753085,0.15556469298245615,0.8427510261535645,0.8834030628204346,0.8625983595848083
0adb86356834452298d180104ff54179,3,openai,text-davinci-002,0.43999999999999995,0.24489795918367344,0.35999999999999993,0.3477582846003899,0.8909437656402588,0.9079148173332214,0.8993492126464844
0f1d41fcf8934fdf8fc993851ba9c6c4,1,openai,text-davinci-002,0.375,0.14893617021276595,0.25,0.16639667705088265,0.9006492495536804,0.8733468055725098,0.8867878913879395
0f1d41fcf8934fdf8fc993851ba9c6c4,2,openai,text-davinci-002,0.2173913043478261,0.02222222222222222,0.10869565217391305,0.12735470941883767,0.8904612064361572,0.8674919009208679,0.8788264989852905
12e2247575bb460284ecaa276965b73f,1,openai,text-davinci-002,0.5249999999999999,0.30769230769230765,0.325,0.30726410934744264,0.9405537247657776,0.9057533740997314,0.9228255748748779
12e2247575bb460284ecaa276965b73f,2,openai,text-davinci-002,0.5060240963855421,0.2962962962962963,0.4337349397590361,0.31351004079902506,0.940385103225708,0.9030256867408752,0.9213268756866455
14f71296e6404651bfdcfd300ddebcf8,1,openai,text-davinci-002,0.6551724137931034,0.47368421052631576,0.4310344827586207,0.6709741550695826,0.8957592248916626,0.9461308121681213,0.9202561974525452
14f71296e6404651bfdcfd300ddebcf8,2,openai,text-davinci-002,0.24561403508771934,0.10714285714285714,0.1754385964912281,0.1626303910205575,0.8405563235282898,0.8784366250038147,0.859079122543335
14f71296e6404651bfdcfd300ddebcf8,3,openai,text-davinci-002,0.3684210526315789,0.21428571428571427,0.2982456140350877,0.3241534709121744,0.8573125600814819,0.8876902461051941,0.8722370266914368
14f71296e6404651bfdcfd300ddebcf8,4,openai,text-davinci-002,0.4310344827586207,0.2807017543859649,0.4137931034482758,0.40188620344051396,0.8828932046890259,0.9087899327278137,0.8956543803215027
1837ffd3608240eb94975a7144547467,1,openai,text-davinci-002,0.25806451612903225,0.0879120879120879,0.17204301075268819,0.1572362855469512,0.8684983253479004,0.8642847537994385,0.8663864135742188
1837ffd3608240eb94975a7144547467,2,openai,text-davinci-002,0.26666666666666666,0.022727272727272724,0.13333333333333333,0.09533898305084747,0.8636825084686279,0.8618081212043762,0.8627443313598633
1837ffd3608240eb94975a7144547467,3,openai,text-davinci-002,0.31249999999999994,0.12765957446808512,0.25,0.2016082098238535,0.8882208466529846,0.8654504418373108,0.8766878247261047
18cba9a8f2f64055a707452638182303,1,openai,text-davinci-002,0.3655913978494624,0.06593406593406592,0.25806451612903225,0.1664045140189249,0.8731251358985901,0.8756241202354431,0.8743728399276733
18cba9a8f2f64055a707452638182303,2,openai,text-davinci-002,0.43478260869565216,0.15555555555555556,0.2608695652173913,0.20235942478257127,0.8798021674156189,0.8998554348945618,0.8897157907485962
18cba9a8f2f64055a707452638182303,3,openai,text-davinci-002,0.41904761904761906,0.2718446601941748,0.30476190476190484,0.23781913401290564,0.9003026485443115,0.8783612847328186,0.8891966342926025
197ac2ec9f4247bca556023c0593c113,1,openai,text-davinci-002,0.3711340206185567,0.12631578947368421,0.24742268041237114,0.15930565774696973,0.9029214382171631,0.8823731541633606,0.8925290703773499
197ac2ec9f4247bca556023c0593c113,2,openai,text-davinci-002,0.37209302325581395,0.14285714285714285,0.23255813953488372,0.14874141876430205,0.908273458480835,0.89408278465271,0.9011222720146179
1d6de9a1cfdc48f989f485d297fe294e,1,openai,text-davinci-002,0.5309734513274336,0.2702702702702703,0.4247787610619469,0.37690836376282383,0.9479552507400513,0.9250513315200806,0.9363632798194885
1d6de9a1cfdc48f989f485d297fe294e,2,openai,text-davinci-002,0.5217391304347825,0.31111111111111117,0.4347826086956522,0.3494873732968971,0.9137581586837769,0.9160435795783997,0.9148994088172913
1d6de9a1cfdc48f989f485d297fe294e,3,openai,text-davinci-002,0.35555555555555557,0.09090909090909091,0.24444444444444444,0.248,0.8894791603088379,0.8862351179122925,0.8878541588783264
1d6de9a1cfdc48f989f485d297fe294e,4,openai,text-davinci-002,0.3695652173913044,0.2,0.2173913043478261,0.21619183285849955,0.8899088501930237,0.8853703141212463,0.8876338005065918
1e9e8efed5544ebf8e20ae191c32a936,1,openai,text-davinci-002,0.4528301886792452,0.21153846153846156,0.3773584905660378,0.38650166497006505,0.9069225788116455,0.9084902405738831,0.9077057838439941
1e9e8efed5544ebf8e20ae191c32a936,2,openai,text-davinci-002,0.38095238095238093,0.13592233009708737,0.24761904761904763,0.1710261569416499,0.8953340649604797,0.8831254243850708,0.8891878128051758
1e9e8efed5544ebf8e20ae191c32a936,3,openai,text-davinci-002,0.35514018691588783,0.09523809523809525,0.24299065420560748,0.2140970824949698,0.8932536840438843,0.8842962384223938,0.8887524008750916
1ea22520bd7b4fe288c62159e02f803d,1,openai,text-davinci-002,0.15384615384615385,0.0,0.13186813186813184,0.062240663900414925,0.8841468095779419,0.8643698692321777,0.8741464614868164
